No	P.Size	Arrival	Waiting	Service In	Service Out
1	426	48:11.339940	00:00.000000	48:11.339940	48:11.361240
2	512	48:11.341788	00:00.019452	48:11.361240	48:11.386840
3	515	48:19.684851	00:00.000000	48:19.684851	48:19.710601
4	683	48:19.687865	00:00.022736	48:19.710601	48:19.744751
5	718	48:19.732418	00:00.012333	48:19.744751	48:19.780651
6	461	48:22.790616	00:00.000000	48:22.790616	48:22.813666
7	412	48:22.861467	00:00.000000	48:22.861467	48:22.882067
8	512	48:22.864676	00:00.017391	48:22.882067	48:22.907667
9	490	48:22.867127	00:00.040540	48:22.907667	48:22.932167
10	683	48:22.885715	00:00.046452	48:22.932167	48:22.966317
11	682	48:22.888035	00:00.078282	48:22.966317	48:23.000417
12	1052	48:37.912608	00:00.000000	48:37.912608	48:37.965208
13	501	48:40.855555	00:00.000000	48:40.855555	48:40.880605
14	480	48:40.855784	00:00.024821	48:40.880605	48:40.904605
15	512	48:40.878792	00:00.025813	48:40.904605	48:40.930205
16	482	48:40.889169	00:00.041036	48:40.930205	48:40.954305
17	512	48:40.891038	00:00.063267	48:40.954305	48:40.979905
18	478	48:40.891572	00:00.088333	48:40.979905	48:41.003805
19	512	48:40.892664	00:00.111141	48:41.003805	48:41.029405
20	479	48:40.894308	00:00.135097	48:41.029405	48:41.053355
21	579	48:40.896259	00:00.157096	48:41.053355	48:41.082305
22	482	48:40.896890	00:00.185415	48:41.082305	48:41.106405
23	555	48:40.900231	00:00.206174	48:41.106405	48:41.134155
24	555	48:40.900597	00:00.233558	48:41.134155	48:41.161905
25	683	48:40.913647	00:00.248258	48:41.161905	48:41.196055
26	771	48:40.977676	00:00.218379	48:41.196055	48:41.234605
27	512	48:40.986771	00:00.247834	48:41.234605	48:41.260205
28	560	48:40.987870	00:00.272335	48:41.260205	48:41.288205
29	512	48:40.989256	00:00.298949	48:41.288205	48:41.313805
30	556	48:40.989949	00:00.323856	48:41.313805	48:41.341605
31	683	48:41.055786	00:00.285819	48:41.341605	48:41.375755
32	683	48:41.057632	00:00.318123	48:41.375755	48:41.409905
33	752	48:41.058485	00:00.351420	48:41.409905	48:41.447505
34	748	48:41.061509	00:00.385996	48:41.447505	48:41.484905
35	423	48:41.287819	00:00.197086	48:41.484905	48:41.506055
36	448	48:41.288043	00:00.218012	48:41.506055	48:41.528455
37	633	48:41.288795	00:00.239660	48:41.528455	48:41.560105
38	633	48:41.289242	00:00.270863	48:41.560105	48:41.591755
39	683	48:41.307477	00:00.284278	48:41.591755	48:41.625905
40	683	48:41.308317	00:00.317588	48:41.625905	48:41.660055
41	489	48:41.356246	00:00.303809	48:41.660055	48:41.684505
42	259	48:41.356591	00:00.327914	48:41.684505	48:41.697455
43	1178	48:41.363733	00:00.333722	48:41.697455	48:41.756355
44	482	48:41.574546	00:00.181809	48:41.756355	48:41.780455
45	1470	48:41.583490	00:00.196965	48:41.780455	48:41.853955
46	486	48:41.787230	00:00.066725	48:41.853955	48:41.878255
47	1407	48:41.899589	00:00.000000	48:41.899589	48:41.969939
48	482	48:41.900365	00:00.069574	48:41.969939	48:41.994039
49	484	48:41.932583	00:00.061456	48:41.994039	48:42.018239
50	220	48:42.037569	00:00.000000	48:42.037569	48:42.048569
51	482	48:42.038152	00:00.010417	48:42.048569	48:42.072669
52	909	48:42.073775	00:00.000000	48:42.073775	48:42.119225
53	479	48:42.074665	00:00.044560	48:42.119225	48:42.143175
54	448	48:42.163373	00:00.000000	48:42.163373	48:42.185773
55	478	48:42.164186	00:00.021587	48:42.185773	48:42.209673
56	448	48:42.269335	00:00.000000	48:42.269335	48:42.291735
57	482	48:42.270353	00:00.021382	48:42.291735	48:42.315835
58	1386	48:42.331630	00:00.000000	48:42.331630	48:42.400930
59	825	48:42.369620	00:00.031310	48:42.400930	48:42.442180
60	825	48:42.370467	00:00.071713	48:42.442180	48:42.483430
61	459	48:42.374885	00:00.108545	48:42.483430	48:42.506380
62	1386	48:42.572906	00:00.000000	48:42.572906	48:42.642206
63	234	48:42.839656	00:00.000000	48:42.839656	48:42.851356
64	313	48:42.911616	00:00.000000	48:42.911616	48:42.927266
65	537	48:44.027516	00:00.000000	48:44.027516	48:44.054366
66	538	48:44.027622	00:00.026744	48:44.054366	48:44.081266
67	543	48:44.028024	00:00.053242	48:44.081266	48:44.108416
68	537	48:44.028217	00:00.080199	48:44.108416	48:44.135266
69	532	48:44.028438	00:00.106828	48:44.135266	48:44.161866
70	541	48:44.028686	00:00.133180	48:44.161866	48:44.188916
71	589	48:44.094525	00:00.094391	48:44.188916	48:44.218366
72	533	48:44.128863	00:00.089503	48:44.218366	48:44.245016
73	443	48:44.222311	00:00.022705	48:44.245016	48:44.267166
74	536	48:44.222999	00:00.044167	48:44.267166	48:44.293966
75	527	48:44.237808	00:00.056158	48:44.293966	48:44.320316
76	387	48:44.350576	00:00.000000	48:44.350576	48:44.369926
77	528	48:44.379423	00:00.000000	48:44.379423	48:44.405823
78	527	48:44.432868	00:00.000000	48:44.432868	48:44.459218
79	438	48:44.438414	00:00.020804	48:44.459218	48:44.481118
80	1464	48:44.495445	00:00.000000	48:44.495445	48:44.568645
